EAR,MAR,Pitch,Yaw,Label
0.2693,0.5029,-17.5579,-50.1466,0
0.2751,0.504,-17.6701,-50.4231,0
0.2706,0.5104,-17.6621,-50.8516,0
0.2745,0.5182,-17.5129,-50.9978,0
0.2744,0.5101,-17.4767,-50.8644,0
0.2679,0.5016,-17.5532,-51.0016,0
0.2659,0.5076,-17.8477,-50.69,0
0.2672,0.496,-17.8049,-50.2073,0
0.2601,0.4839,-17.8595,-49.7954,0
0.2804,0.4835,-17.5032,-50.0414,0
0.2727,0.472,-17.4717,-49.5377,0
0.2648,0.4764,-17.6461,-49.7882,0
0.2678,0.4793,-17.7077,-50.0475,0
0.278,0.4909,-17.9881,-50.356,0
0.284,0.4878,-17.9342,-50.3466,0
0.2608,0.4899,-17.6975,-50.1503,0
0.2688,0.4835,-17.8136,-50.3529,0
0.2702,0.4837,-17.5442,-50.1561,0
0.2696,0.5077,-17.511,-50.2809,0
0.2639,0.4887,-17.6049,-49.7801,0
0.2624,0.5028,-17.3986,-49.8793,0
0.2717,0.5012,-17.1868,-49.6099,0
0.2651,0.5003,-17.1528,-49.4734,0
0.2687,0.5101,-17.2563,-49.7607,0
0.2718,0.5077,-17.557,-49.9174,0
0.2613,0.5077,-17.7202,-50.1987,0
0.2576,0.5003,-17.8666,-49.8419,0
0.242,0.5075,-17.6195,-50.3057,0
0.2643,0.5018,-17.7907,-52.3549,0
0.2697,0.4985,-18.6313,-53.7979,0
0.2785,0.5113,-18.7441,-54.3586,0
0.2616,0.5098,-19.0034,-54.4091,0
0.2685,0.5256,-19.1347,-54.842,0
0.2768,0.5256,-19.0219,-55.0048,0
0.2721,0.5186,-18.4119,-54.8523,0
0.2674,0.5222,-18.2824,-54.0537,0
0.2714,0.5355,-18.1584,-54.2494,0
0.2877,0.529,-18.2473,-54.5831,0
0.2632,0.6269,-18.3217,-56.605,0
0.2865,0.6485,-17.2557,-56.7265,0
0.2743,0.6368,-17.2327,-56.5124,0
0.28,0.6694,-17.7842,-57.4706,0
0.2865,0.5253,-15.9455,-54.7336,0
0.3026,0.4766,-13.2235,-51.5899,0
0.2703,0.4503,-10.7858,-49.1951,0
0.2571,0.4504,-8.4349,-46.9273,0
0.2742,0.7367,-7.7337,-50.0661,0
0.2823,0.5693,-8.3923,-49.7412,0
0.2853,0.6554,-7.5323,-49.6798,0
0.304,0.7024,-8.1517,-51.7086,0
0.2757,0.5754,-8.9459,-50.043,0
0.2708,0.5675,-9.7797,-49.6833,0
0.2845,0.5265,-9.8304,-49.815,0
